0.0000__21.7391, 1.4293__20.8609, 2.7890__20.2252, 4.7495__19.9177, 5.8451__19.8970, 7.6729__20.0604, 8.8916__19.8367, 10.2143__19.8817, 11.6547__20.0156, 12.8368__19.6520, 13.9543__19.3093, 15.0929__19.0008, 16.2964__18.7410, 17.3345__18.6547, 18.4208__18.4376, 19.3917__18.3812, 20.3541__18.2757, 21.1894__17.9657, 22.0821__17.6841, 22.8736__17.3927, 23.7255__16.9390, 24.5276__16.6800, 25.2935__16.4215, 26.0344__16.1363, 26.7749__15.9306, 27.4473__15.6786, 28.0893__15.3738, 28.7348__15.1016, 29.3784__14.8953, 30.0024__14.7188, 30.6364__14.5086, 31.2701__14.2136, 32.0000__14.0867, 
0.0000__19.6325, 1.3948__18.9220, 2.9927__18.4423, 4.6824__18.8901, 6.4718__19.3399, 7.6054__19.2436, 9.1470__19.1064, 10.3688__18.9199, 11.8657__18.8697, 13.0533__18.9004, 14.1918__18.4911, 15.2923__18.0787, 16.5259__17.9577, 17.5685__17.7023, 18.6588__17.6433, 19.6463__17.5300, 20.5879__17.3140, 21.4987__17.0523, 22.3501__16.8260, 23.2160__16.4108, 24.0796__16.1719, 24.8647__15.9026, 25.6183__15.5706, 26.3557__15.2848, 27.0505__15.0262, 27.7166__14.7319, 28.3630__14.4363, 28.9981__14.1911, 29.6077__14.0288, 30.2166__13.9067, 30.8060__13.8369, 31.3901__13.6175, 32.0000__13.5166, 
0.0000__17.5449, 1.4699__16.9905, 3.1022__16.7938, 4.8335__17.2656, 6.6450__18.3582, 8.0641__18.5871, 9.1369__18.1691, 10.7113__18.0498, 11.9866__18.1997, 13.2707__17.9413, 14.3746__17.5748, 15.5890__17.1944, 16.7384__17.0912, 17.8693__16.9693, 18.9338__16.8488, 19.8935__16.6023, 20.8813__16.4004, 21.7490__16.1751, 22.7326__15.9074, 23.5851__15.6016, 24.3914__15.3120, 25.1783__14.9709, 25.9423__14.6755, 26.6680__14.3988, 27.3535__14.0866, 28.0171__13.7770, 28.6754__13.5470, 29.2645__13.3279, 29.8251__13.1326, 30.4081__13.0452, 30.9176__13.0212, 31.4880__12.9213, 32.0000__12.9013, 
0.0000__15.5006, 1.5260__15.2069, 3.2044__15.1004, 4.9284__15.7334, 6.4882__16.4399, 8.1899__17.1196, 9.4616__17.0865, 10.6121__16.9270, 12.1961__17.1680, 13.3751__16.9635, 14.6725__16.5270, 15.8226__16.3991, 17.0254__16.2564, 18.1428__16.0467, 19.1879__15.9279, 20.1422__15.7092, 21.0676__15.5371, 22.1730__15.2741, 23.0650__14.9756, 23.9306__14.7426, 24.6987__14.3305, 25.4724__13.9857, 26.2470__13.6950, 26.9554__13.3609, 27.6504__13.0425, 28.3230__12.8222, 29.0114__12.7262, 29.5461__12.5141, 30.0836__12.3253, 30.5713__12.2486, 31.0474__12.1017, 31.5104__12.0654, 32.0000__12.0976, 
0.0000__13.5555, 1.5572__13.4368, 3.2322__13.4734, 4.8687__13.9258, 6.4716__14.6335, 7.8366__15.0268, 9.3635__15.2625, 10.5075__15.1646, 11.8062__15.0090, 13.1609__14.8831, 14.6774__15.2521, 15.9883__15.3138, 17.3062__15.1862, 18.3237__15.1696, 19.3695__14.9266, 20.2867__14.5098, 21.1224__13.9280, 22.3182__14.0469, 23.3845__14.0696, 24.2727__13.7400, 25.0248__13.3437, 25.7894__13.0074, 26.5826__12.6956, 27.2920__12.3559, 28.0203__12.1347, 28.6819__11.9244, 29.2778__11.7789, 29.8307__11.6270, 30.3094__11.5170, 30.7501__11.4001, 31.1334__11.2417, 31.5587__11.1267, 32.0000__11.0351, 
0.0000__11.6779, 1.5844__11.6786, 3.2012__11.7501, 4.8025__12.1125, 6.2669__12.5856, 7.7008__12.9424, 8.9260__13.0713, 10.2419__12.8489, 11.5171__12.8742, 12.9363__12.9387, 14.3186__13.1174, 15.8810__13.4611, 17.2635__13.9918, 18.2439__13.6190, 19.3561__13.3667, 20.3704__13.0968, 21.4996__13.0666, 22.3904__12.7546, 23.2997__12.5599, 24.5037__12.5999, 25.3365__12.3719, 26.2196__12.0116, 26.9207__11.6165, 27.6280__11.3204, 28.4259__11.1642, 29.0229__10.9590, 29.5816__10.7762, 30.0500__10.6515, 30.4837__10.5567, 30.8775__10.4431, 31.2331__10.1979, 31.5964__9.9859, 32.0000__9.9486, 
0.0000__9.8437, 1.5522__9.8672, 3.1105__9.9609, 4.6246__10.1725, 6.0659__10.5076, 7.3988__10.7495, 8.6946__10.7454, 9.9449__10.7305, 11.3497__10.7505, 12.7420__10.9387, 14.2030__11.1200, 15.5360__11.4054, 16.5946__11.2233, 17.6616__11.1201, 18.9219__11.1918, 20.5374__11.5075, 21.5150__11.4787, 22.4372__11.3522, 23.1661__10.8484, 24.1772__10.6166, 25.4473__10.6785, 26.3033__10.5803, 27.1194__10.4048, 28.1010__10.2238, 28.7736__10.0576, 29.3578__9.9403, 29.9032__9.8813, 30.2877__9.6793, 30.6370__9.4543, 30.9599__9.2085, 31.3341__9.1113, 31.6335__8.8813, 32.0000__8.7742, 
0.0000__7.9678, 1.4954__7.9927, 2.9790__8.0654, 4.4392__8.1945, 5.8340__8.3701, 7.1609__8.5362, 8.4654__8.5399, 9.8371__8.5942, 11.1896__8.7101, 12.6124__8.8974, 14.1102__9.4171, 15.4444__9.7507, 16.5640__9.7554, 17.5597__9.4750, 18.9714__9.6753, 20.5935__10.2899, 21.5152__10.1847, 22.2312__9.5623, 23.3437__9.3678, 24.3631__9.1372, 25.4005__9.1041, 25.9634__8.6603, 27.2036__8.4531, 28.3869__8.8566, 29.1044__8.9273, 29.6051__8.7585, 30.1425__8.6989, 30.5403__8.5550, 30.8266__8.2723, 31.1043__8.0010, 31.4062__7.8693, 31.7034__7.6755, 32.0000__7.6143, 
0.0000__6.0319, 1.4504__6.0479, 2.8907__6.0970, 4.3076__6.1727, 5.6966__6.2646, 7.0535__6.3528, 8.4024__6.4205, 9.7527__6.4982, 11.1275__6.6116, 12.5169__6.8980, 13.8083__7.2078, 15.0485__7.3793, 16.2996__7.4778, 17.5501__7.6519, 18.6447__7.7569, 19.6977__7.7055, 20.7474__7.5048, 22.0696__7.5706, 23.3536__7.7006, 24.4416__7.7047, 25.1641__7.2695, 26.3318__7.0143, 27.3800__7.2297, 28.4160__7.4051, 29.3535__7.4550, 29.8453__7.2317, 30.2504__7.0614, 30.6603__7.0268, 31.0031__6.9035, 31.2483__6.6389, 31.4864__6.4272, 31.7383__6.3107, 32.0000__6.2827, 
0.0000__4.0460, 1.4228__4.0558, 2.8373__4.0832, 4.2381__4.1257, 5.6198__4.1778, 6.9843__4.2339, 8.3349__4.2970, 9.6765__4.3700, 11.0087__4.4987, 12.2824__4.6612, 13.5220__4.8289, 14.7087__4.9684, 15.8437__5.0457, 16.9373__5.0942, 18.0604__5.1142, 19.1960__5.1226, 20.4255__5.1589, 21.6438__5.3196, 22.8549__5.3927, 23.9916__5.3681, 25.2392__5.4889, 26.1021__5.4822, 27.0927__5.2715, 28.2798__5.2321, 29.1604__5.4996, 29.8100__5.5796, 30.4646__5.5123, 30.9737__5.4118, 31.1945__5.1907, 31.3380__4.9081, 31.5673__4.7240, 31.7806__4.5794, 32.0000__4.5271, 
0.0000__2.0301, 1.4081__2.0344, 2.8105__2.0469, 4.2012__2.0663, 5.5773__2.0910, 6.9359__2.1208, 8.2744__2.1558, 9.5912__2.2058, 10.8680__2.2652, 12.1178__2.3382, 13.3130__2.4189, 14.4727__2.4725, 15.6165__2.5006, 16.7626__2.5305, 17.8834__2.5649, 19.0083__2.6185, 20.0949__2.6900, 21.1725__2.7536, 22.2101__2.7858, 23.2508__2.7924, 24.2102__2.7589, 25.3771__2.6914, 26.5591__2.8443, 27.4623__2.9292, 28.1663__2.7469, 29.0124__2.4542, 30.2498__2.6513, 31.1123__3.1072, 31.3351__3.0482, 31.5498__2.7849, 31.7081__2.6258, 31.8527__2.5345, 32.0000__2.5085, 
0.0000__0.0000, 1.4038__0.0000, 2.8018__0.0000, 4.1898__0.0000, 5.5629__0.0000, 6.9183__0.0000, 8.2523__0.0000, 9.5568__0.0000, 10.8368__0.0000, 12.0713__0.0000, 13.2796__0.0000, 14.4574__0.0000, 15.6111__0.0000, 16.7382__0.0000, 17.8591__0.0000, 18.9418__0.0000, 20.0082__0.0000, 21.0359__0.0000, 22.0580__0.0000, 23.0731__0.0000, 24.1646__0.0000, 25.0961__0.0000, 25.9988__0.0000, 27.0901__0.0000, 28.3031__0.0000, 28.9105__0.0000, 29.6775__0.0000, 30.5738__0.0000, 31.4561__0.0000, 31.6933__0.0000, 31.7784__0.0000, 31.8802__0.0000, 32.0000__0.0000
