0.0000__13.3439, 1.3322__13.6785, 2.2480__13.7106, 3.4051__13.8042, 5.0542__14.6049, 5.8718__14.9779, 6.7647__14.8860, 7.6802__14.5069, 8.7740__14.0996, 9.9806__14.2009, 11.0463__14.4047, 12.0742__14.4574, 13.0058__14.0720, 14.5219__14.1895, 15.8294__14.5060, 16.8937__14.8807, 17.6788__14.9553, 18.1548__14.9306, 18.8010__14.3992, 19.2989__14.0798, 19.8989__13.4995, 20.8177__12.5698, 21.6317__12.0866, 22.4283__12.0402, 22.8837__11.8646, 23.6529__11.2357, 24.7282__10.6163, 25.5186__10.1059, 26.2645__9.5685, 27.0617__9.3413, 28.0495__8.9731, 29.9014__9.1113, 32.0000__9.4510, 
0.0000__12.9155, 1.1330__13.1382, 2.1452__13.1271, 3.3265__12.9103, 4.3851__13.5098, 5.5860__13.8923, 6.2937__13.6639, 7.6810__13.5965, 8.7576__13.4195, 9.9271__13.5631, 10.8119__13.2877, 11.9406__13.2774, 12.9911__12.9079, 14.5380__13.1070, 15.8933__13.7023, 17.0868__14.2050, 17.7693__14.3466, 18.5507__14.1748, 19.0592__13.8282, 19.6070__13.5347, 20.3035__12.7341, 21.1718__12.0278, 21.8999__11.5466, 22.5715__11.0101, 23.2185__10.5230, 24.2469__10.0272, 25.1808__9.3987, 25.9614__8.5278, 26.4825__7.9420, 27.4482__7.7122, 28.5107__7.3017, 29.9778__7.2626, 32.0000__7.3995, 
0.0000__12.7142, 1.0067__12.7085, 2.0062__12.4715, 3.1957__12.4330, 4.0746__12.1574, 5.0664__11.9808, 6.3132__11.8134, 7.1717__11.6282, 8.9197__12.1871, 9.7732__12.3824, 10.8536__12.3934, 11.7333__12.2964, 13.0528__12.0141, 14.3877__12.2296, 15.8486__12.5515, 17.0297__13.0350, 17.9946__13.0526, 18.7938__13.2503, 19.3535__13.0186, 20.0623__12.4405, 20.9021__12.0379, 21.5526__11.4996, 22.3200__10.8916, 22.9234__10.2861, 23.7352__9.5763, 24.7834__8.8623, 25.8365__8.1839, 26.4164__7.4558, 27.1025__7.0739, 28.1417__6.5597, 29.0357__5.9304, 30.1587__5.6974, 32.0000__6.4927, 
0.0000__12.1234, 1.0192__12.0639, 1.9113__11.7458, 3.0373__11.4188, 4.2160__11.2941, 4.9934__10.7096, 6.0772__10.4456, 7.6598__10.1672, 8.7385__10.5270, 9.7888__11.2122, 10.6027__11.1534, 11.7613__11.2022, 12.9094__11.0716, 14.2301__11.1834, 15.6251__11.4055, 16.7967__11.6228, 18.1651__12.0285, 18.8915__12.0474, 19.8746__11.8938, 20.5791__11.4112, 21.3671__11.1711, 22.1699__10.7914, 22.7613__10.1882, 23.5027__9.4339, 24.4841__8.5349, 25.4799__7.8019, 26.3072__7.3317, 26.9252__6.7765, 27.8594__6.2173, 28.6173__5.7592, 29.7458__5.1986, 30.3044__4.7831, 32.0000__5.2986, 
0.0000__11.0132, 0.9951__10.9952, 2.0553__10.6441, 3.0457__10.3225, 4.1810__10.2553, 5.3040__10.1013, 6.1485__9.4569, 7.5810__9.3306, 8.6160__9.8471, 9.8385__10.1358, 10.6105__10.1097, 11.4812__9.8372, 12.7105__9.9434, 14.0551__9.8552, 15.2174__9.9990, 16.6729__10.1022, 18.0234__10.6086, 19.0825__10.5142, 20.1613__10.5989, 20.9982__10.3803, 21.9575__10.1102, 22.6477__9.8172, 23.3999__9.3161, 24.3266__8.3929, 25.4381__7.6160, 26.1005__7.0100, 26.7130__6.4868, 27.6531__5.8131, 28.3036__5.3379, 29.1287__4.9831, 30.0154__4.6037, 30.6805__4.4149, 32.0000__4.4772, 
0.0000__9.5068, 1.0750__9.4231, 2.2771__9.4033, 3.2811__9.1494, 4.3586__9.1214, 5.3226__9.0634, 6.4925__8.6945, 7.5176__8.5845, 8.7476__8.6603, 9.4952__8.9556, 10.6561__9.1668, 11.4114__9.0481, 12.6288__8.6904, 13.9141__8.8078, 15.0036__8.6471, 16.5176__8.6531, 17.7853__8.9051, 19.0031__8.9307, 20.2886__9.1512, 21.3486__8.9828, 22.3514__9.1578, 23.0160__8.6750, 23.9828__8.0155, 25.0924__7.3747, 25.9706__6.7524, 26.7231__6.0929, 27.6541__5.2153, 28.4153__4.5994, 28.9934__4.1650, 29.6149__4.0435, 30.3186__3.7778, 30.9761__3.5876, 32.0000__3.7522, 
0.0000__7.8022, 1.2106__7.7541, 2.4670__7.8614, 3.5295__7.8502, 4.5406__7.7755, 5.6003__7.7735, 6.5661__7.6335, 7.6516__7.5430, 8.5660__7.6068, 9.4664__7.5971, 10.1496__7.7212, 11.3268__7.8323, 12.5526__7.9559, 13.8624__8.0341, 15.1045__7.6546, 16.3960__7.6773, 17.8601__7.6990, 18.9766__7.4588, 20.6118__7.7160, 21.5724__7.9592, 22.1424__7.5959, 23.1717__7.1582, 24.5623__6.8150, 25.5222__6.3978, 26.6150__5.8169, 27.5280__4.9764, 28.5525__4.3102, 29.1798__3.7330, 29.8326__3.2883, 30.1641__2.9561, 30.7118__2.8963, 31.1866__2.8983, 32.0000__2.8812, 
0.0000__6.1571, 1.2894__6.1007, 2.6042__6.3320, 3.6641__6.3726, 4.6905__6.2605, 5.6410__6.2074, 6.6824__6.1721, 7.6314__6.2742, 8.5315__6.4958, 9.3135__6.7189, 10.1736__6.4131, 10.8611__5.8552, 12.2384__5.7988, 13.6545__6.1343, 15.0945__6.3112, 16.2685__6.0256, 17.7573__6.0048, 19.3478__6.2518, 20.8508__6.9667, 21.5042__6.8022, 22.1720__6.1423, 23.6306__5.7859, 24.8292__5.6877, 25.8026__5.3772, 27.0265__4.8752, 27.9741__4.3082, 28.7895__3.7916, 29.6205__3.1706, 30.0733__2.7356, 30.5749__2.5411, 30.9751__2.3131, 31.4502__2.2089, 32.0000__2.1817, 
0.0000__4.5999, 1.3444__4.5832, 2.6457__4.6794, 3.7630__4.8084, 4.7107__4.8087, 5.8413__4.7039, 6.6955__4.6287, 7.5702__4.6630, 8.4284__4.7025, 9.2164__4.5683, 10.0880__4.9798, 10.9968__4.9750, 11.9018__4.4721, 13.5634__4.4305, 14.9427__4.5794, 16.4316__4.8029, 17.8550__4.8917, 19.4096__5.2249, 20.3749__5.3377, 21.2943__4.9758, 22.4032__4.5305, 23.9340__4.5580, 24.7366__4.4359, 26.0661__4.2173, 26.8589__3.9611, 27.9426__3.6379, 28.9756__3.0316, 29.8174__2.5120, 30.3596__2.2031, 30.7348__1.9896, 31.0667__1.9759, 31.5203__1.9518, 32.0000__1.9231, 
0.0000__3.6579, 1.4054__3.6516, 2.7022__3.7236, 3.9103__3.6470, 4.9544__3.3145, 5.8482__3.3202, 6.9670__3.3445, 7.6800__3.0797, 8.4113__3.0925, 9.2419__3.3485, 9.6440__3.3071, 10.9433__3.5146, 12.2253__3.3832, 13.4861__2.8466, 14.8329__2.9791, 16.0527__3.0883, 17.5744__3.4208, 19.0420__3.7089, 20.1818__3.6782, 21.5110__3.4053, 22.6024__3.2172, 24.0115__3.1879, 25.0748__2.8674, 25.5797__2.7639, 26.6264__2.8513, 27.9693__2.4571, 29.1554__2.2448, 30.0469__1.8851, 30.5049__1.6832, 30.8279__1.6154, 31.1410__1.5465, 31.5763__1.5211, 32.0000__1.5266, 
0.0000__1.4816, 1.3053__1.5370, 2.5679__1.5921, 3.9404__1.8570, 5.0707__2.2306, 5.8712__2.0404, 7.1577__2.2052, 7.8938__2.3263, 8.4600__2.2145, 9.0503__2.2694, 9.5913__2.2671, 10.5857__1.7493, 12.6675__1.8034, 13.7057__1.6766, 15.0483__1.3798, 15.7451__1.3786, 17.1082__1.6036, 18.6652__1.8741, 20.0243__1.8617, 21.4928__1.8227, 22.7031__1.6382, 24.2312__1.5885, 25.2249__1.6716, 25.6107__1.4419, 26.7034__1.0948, 27.9883__1.2066, 28.9492__1.1632, 29.8279__1.1406, 30.3011__1.1969, 30.6477__1.1329, 30.9692__1.1543, 31.3669__1.2482, 32.0000__1.3273, 
0.0000__0.0000, 1.2976__0.0000, 2.5722__0.0000, 3.6592__0.0000, 4.6845__0.0000, 5.8659__0.0000, 6.6892__0.0000, 7.8193__0.0000, 8.4627__0.0000, 8.9639__0.0000, 9.5801__0.0000, 10.9061__0.0000, 12.2621__0.0000, 14.0840__0.0000, 15.1796__0.0000, 15.7355__0.0000, 16.8795__0.0000, 18.5202__0.0000, 19.9523__0.0000, 21.3735__0.0000, 22.7932__0.0000, 24.0655__0.0000, 25.3072__0.0000, 26.2237__0.0000, 26.9969__0.0000, 27.9115__0.0000, 28.9580__0.0000, 29.4114__0.0000, 30.1013__0.0000, 30.4801__0.0000, 30.8057__0.0000, 31.1854__0.0000, 32.0000__0.0000
