0.0000__8.9770, 0.7567__8.9721, 1.5166__8.9631, 2.2682__8.9472, 3.0405__8.9398, 3.8060__8.9028, 4.5713__8.8600, 5.4640__8.9509, 6.5087__9.1162, 7.3897__9.0752, 8.3489__9.0667, 9.2678__9.1273, 10.2709__9.2290, 11.2810__9.3041, 12.2844__9.3710, 13.3243__9.4389, 14.3525__9.5009, 15.4114__9.6141, 16.4799__9.7105, 17.5471__9.8123, 18.6214__9.8668, 19.6649__9.9091, 20.6748__9.9890, 21.8027__10.0414, 22.9119__10.0899, 24.0303__10.1255, 25.1494__10.1569, 26.2786__10.1776, 27.4203__10.1987, 28.5525__10.2190, 29.6824__10.2433, 30.8416__10.2678, 32.0000__10.2698, 
0.0000__8.1233, 0.7662__8.1193, 1.5313__8.1051, 2.2977__8.0823, 3.0666__8.0515, 3.8611__8.0259, 4.6366__7.9672, 5.4403__7.9196, 6.4258__7.9672, 7.3384__7.9463, 8.2180__7.9576, 9.2002__8.0471, 10.2053__8.1458, 11.2509__8.2263, 12.2395__8.2240, 13.1992__8.2636, 14.2482__8.3808, 15.2815__8.4609, 16.3610__8.6050, 17.4504__8.7027, 18.5439__8.8087, 19.5961__8.9046, 20.6652__8.9509, 21.7505__9.0115, 22.8767__9.0608, 23.9938__9.0954, 25.1241__9.1319, 26.2639__9.1585, 27.3987__9.1752, 28.5358__9.1954, 29.6659__9.2175, 30.8360__9.2323, 32.0000__9.2377, 
0.0000__7.2802, 0.7752__7.2757, 1.5511__7.2619, 2.3276__7.2382, 3.1085__7.2034, 3.8948__7.1608, 4.7082__7.1218, 5.5079__7.0436, 6.3697__6.9624, 7.2342__6.9082, 8.0891__6.8824, 9.0639__6.9734, 10.1165__7.0391, 11.0950__7.0481, 12.1158__7.1598, 13.1317__7.1954, 14.0981__7.2027, 15.1264__7.3748, 16.2516__7.5039, 17.3335__7.6069, 18.4157__7.7078, 19.5182__7.8189, 20.6112__7.9293, 21.7203__7.9873, 22.8347__8.0351, 23.9625__8.0803, 25.0979__8.1131, 26.2458__8.1322, 27.3826__8.1412, 28.5101__8.1579, 29.6560__8.1822, 30.8203__8.2058, 32.0000__8.2179, 
0.0000__6.4465, 0.7840__6.4423, 1.5690__6.4295, 2.3563__6.4074, 3.1470__6.3766, 3.9436__6.3349, 4.7506__6.2858, 5.5853__6.2351, 6.4056__6.1672, 7.2512__6.1109, 8.0957__6.0548, 8.9902__5.9764, 9.9135__5.9700, 10.9794__6.1147, 12.0294__6.1081, 12.9771__6.0859, 13.9501__6.2207, 15.0664__6.3289, 16.1212__6.4162, 17.2114__6.5200, 18.2552__6.6092, 19.3934__6.7732, 20.5369__6.8677, 21.6548__6.9483, 22.7865__7.0087, 23.9091__7.0619, 25.0735__7.1079, 26.2189__7.1219, 27.3655__7.1314, 28.4903__7.1253, 29.6213__7.1495, 30.7971__7.1982, 32.0000__7.2152, 
0.0000__5.6217, 0.7921__5.6179, 1.5854__5.6064, 2.3812__5.5875, 3.1807__5.5600, 3.9868__5.5256, 4.8002__5.4824, 5.6267__5.4356, 6.4597__5.3879, 7.2996__5.3357, 8.1551__5.2753, 9.0245__5.2315, 9.8909__5.1731, 10.8682__5.1051, 11.8315__5.0809, 12.7335__5.0956, 13.7713__5.1432, 14.8709__5.2661, 15.9605__5.3733, 17.0835__5.4874, 18.1378__5.6005, 19.2964__5.7176, 20.4300__5.8302, 21.5594__5.9055, 22.6746__5.9856, 23.8492__6.0774, 25.0259__6.1275, 26.2050__6.1537, 27.3516__6.1533, 28.4750__6.1509, 29.5869__6.1718, 30.7766__6.2093, 32.0000__6.2327, 
0.0000__4.8046, 0.7991__4.8014, 1.5995__4.7917, 2.4023__4.7753, 3.2095__4.7529, 4.0215__4.7236, 4.8420__4.6899, 5.6687__4.6518, 6.5052__4.6098, 7.3507__4.5655, 8.2069__4.5224, 9.0662__4.4722, 9.9566__4.4162, 10.8615__4.3733, 11.7641__4.3298, 12.6895__4.2929, 13.6543__4.2812, 14.6499__4.2733, 15.7196__4.3439, 16.8999__4.4927, 18.0406__4.5799, 19.1677__4.6803, 20.2872__4.7906, 21.4205__4.9218, 22.5612__5.0327, 23.7728__5.1259, 24.9871__5.1571, 26.1343__5.1636, 27.3193__5.2180, 28.4587__5.2289, 29.5920__5.2213, 30.7480__5.2365, 32.0000__5.2770, 
0.0000__3.9942, 0.8051__3.9915, 1.6114__3.9835, 2.4202__3.9702, 3.2326__3.9517, 4.0505__3.9286, 4.8740__3.9012, 5.7055__3.8702, 6.5443__3.8363, 7.3919__3.8004, 8.2483__3.7637, 9.1225__3.7278, 10.0094__3.6915, 10.9057__3.6499, 11.8104__3.6103, 12.7155__3.5762, 13.6558__3.5463, 14.6083__3.5199, 15.5796__3.4844, 16.6397__3.4595, 17.6759__3.4987, 18.8330__3.6431, 20.0851__3.8413, 21.3181__3.9995, 22.5087__4.1300, 23.7239__4.2110, 24.9439__4.2510, 26.0868__4.2886, 27.2917__4.2928, 28.4302__4.3155, 29.6143__4.3188, 30.7373__4.3073, 32.0000__4.3147, 
0.0000__3.1891, 0.8099__3.1870, 1.6209__3.1807, 2.4343__3.1702, 3.2513__3.1558, 4.0729__3.1377, 4.9004__3.1164, 5.7343__3.0922, 6.5759__3.0655, 7.4252__3.0367, 8.2839__3.0051, 9.1538__2.9715, 10.0370__2.9396, 10.9349__2.9114, 11.8370__2.8808, 12.7400__2.8458, 13.6628__2.8154, 14.5958__2.7857, 15.5603__2.7736, 16.5909__2.7938, 17.6247__2.7802, 18.6656__2.7632, 19.7963__2.8331, 21.0701__3.0179, 22.3765__3.2003, 23.6631__3.3010, 24.8601__3.3803, 26.0995__3.4124, 27.2490__3.4155, 28.4329__3.4296, 29.5902__3.4422, 30.7703__3.4500, 32.0000__3.4236, 
0.0000__2.3882, 0.8136__2.3867, 1.6282__2.3820, 2.4452__2.3743, 3.2654__2.3637, 4.0901__2.3504, 4.9202__2.3347, 5.7566__2.3167, 6.6001__2.2970, 7.4515__2.2754, 8.3118__2.2524, 9.1813__2.2283, 10.0613__2.2029, 10.9537__2.1778, 11.8553__2.1557, 12.7625__2.1335, 13.6808__2.1095, 14.6106__2.0856, 15.5524__2.0544, 16.5390__2.0195, 17.5408__2.0297, 18.6150__2.0509, 19.6647__2.0666, 20.9283__2.1644, 22.2820__2.2840, 23.5550__2.4111, 24.8076__2.5080, 26.0773__2.5419, 27.2080__2.5354, 28.3983__2.5607, 29.5662__2.5885, 30.7878__2.5912, 32.0000__2.6019, 
0.0000__1.5905, 0.8162__1.5894, 1.6334__1.5864, 2.4528__1.5813, 3.2754__1.5743, 4.1022__1.5656, 4.9342__1.5552, 5.7723__1.5434, 6.6173__1.5302, 7.4701__1.5160, 8.3313__1.5009, 9.2016__1.4849, 10.0819__1.4687, 10.9718__1.4527, 11.8714__1.4368, 12.7814__1.4214, 13.7003__1.4061, 14.6290__1.3895, 15.5720__1.3687, 16.5293__1.3560, 17.4940__1.3204, 18.5289__1.2985, 19.5342__1.2795, 20.6894__1.2737, 22.0157__1.3829, 23.4223__1.5322, 24.7741__1.6482, 26.0292__1.7287, 27.2226__1.7680, 28.3870__1.7577, 29.6057__1.7308, 30.7947__1.6970, 32.0000__1.6801, 
0.0000__0.7947, 0.8177__0.7942, 1.6364__0.7927, 2.4573__0.7902, 3.2813__0.7867, 4.1094__0.7824, 4.9426__0.7772, 5.7817__0.7713, 6.6276__0.7648, 7.4811__0.7577, 8.3429__0.7502, 9.2137__0.7423, 10.0938__0.7343, 10.9837__0.7263, 11.8835__0.7184, 12.7928__0.7107, 13.7124__0.7027, 14.6426__0.6940, 15.5853__0.6863, 16.5370__0.6744, 17.5131__0.6663, 18.4882__0.6554, 19.5013__0.6391, 20.5528__0.6045, 21.7322__0.5495, 23.0716__0.6119, 24.6144__0.7898, 25.9930__0.8940, 27.2530__0.9250, 28.4550__0.8893, 29.6306__0.8379, 30.8242__0.8122, 32.0000__0.7913, 
0.0000__0.0000, 0.8182__0.0000, 1.6375__0.0000, 2.4588__0.0000, 3.2832__0.0000, 4.1118__0.0000, 4.9453__0.0000, 5.7848__0.0000, 6.6310__0.0000, 7.4848__0.0000, 8.3468__0.0000, 9.2177__0.0000, 10.0979__0.0000, 10.9877__0.0000, 11.8873__0.0000, 12.7969__0.0000, 13.7165__0.0000, 14.6473__0.0000, 15.5885__0.0000, 16.5463__0.0000, 17.5112__0.0000, 18.5008__0.0000, 19.4983__0.0000, 20.5353__0.0000, 21.6207__0.0000, 22.8325__0.0000, 24.5006__0.0000, 25.9870__0.0000, 27.2669__0.0000, 28.5000__0.0000, 29.6350__0.0000, 30.8380__0.0000, 32.0000__0.0000
