0.0000__11.1977, 1.0104__11.1960, 2.0221__11.1917, 3.0338__11.1846, 4.0391__11.1755, 5.0444__11.1690, 6.0458__11.1643, 7.0464__11.1582, 8.0472__11.1518, 9.0487__11.1453, 10.0494__11.1387, 11.0504__11.1318, 12.0516__11.1244, 13.0520__11.1169, 14.0521__11.1097, 15.0513__11.1029, 16.0498__11.0966, 17.0480__11.0902, 18.0460__11.0839, 19.0437__11.0776, 20.0412__11.0714, 21.0383__11.0654, 22.0355__11.0598, 23.0326__11.0545, 24.0296__11.0496, 25.0263__11.0450, 26.0226__11.0410, 27.0188__11.0373, 28.0149__11.0342, 29.0109__11.0315, 30.0070__11.0294, 31.0034__11.0279, 32.0000__11.0273, 
0.0000__10.1844, 1.0123__10.1841, 2.0255__10.1833, 3.0398__10.1829, 4.0476__10.1794, 5.0494__10.1732, 6.0506__10.1685, 7.0526__10.1638, 8.0537__10.1577, 9.0553__10.1511, 10.0565__10.1439, 11.0578__10.1361, 12.0595__10.1282, 13.0597__10.1204, 14.0593__10.1130, 15.0577__10.1062, 16.0562__10.0998, 17.0545__10.0932, 18.0524__10.0866, 19.0500__10.0801, 20.0474__10.0738, 21.0443__10.0676, 22.0411__10.0616, 23.0379__10.0560, 24.0344__10.0509, 25.0306__10.0462, 26.0265__10.0419, 27.0222__10.0382, 28.0178__10.0350, 29.0133__10.0324, 30.0088__10.0304, 31.0044__10.0291, 32.0000__10.0286, 
0.0000__9.1683, 1.0123__9.1685, 2.0250__9.1694, 3.0385__9.1719, 4.0500__9.1755, 5.0546__9.1752, 6.0543__9.1714, 7.0568__9.1686, 8.0598__9.1648, 9.0625__9.1582, 10.0649__9.1498, 11.0661__9.1408, 12.0674__9.1324, 13.0674__9.1248, 14.0663__9.1178, 15.0646__9.1107, 16.0630__9.1033, 17.0613__9.0962, 18.0591__9.0892, 19.0566__9.0824, 20.0537__9.0757, 21.0505__9.0693, 22.0471__9.0630, 23.0434__9.0572, 24.0395__9.0517, 25.0353__9.0466, 26.0306__9.0422, 27.0257__9.0383, 28.0207__9.0351, 29.0156__9.0325, 30.0104__9.0306, 31.0052__9.0294, 32.0000__9.0290, 
0.0000__8.1519, 1.0116__8.1523, 2.0233__8.1536, 3.0350__8.1562, 4.0459__8.1605, 5.0545__8.1655, 6.0565__8.1671, 7.0575__8.1665, 8.0636__8.1657, 9.0691__8.1619, 10.0739__8.1547, 11.0750__8.1460, 12.0755__8.1377, 13.0746__8.1304, 14.0734__8.1232, 15.0724__8.1153, 16.0706__8.1071, 17.0687__8.0992, 18.0662__8.0917, 19.0636__8.0845, 20.0604__8.0775, 21.0570__8.0707, 22.0533__8.0642, 23.0492__8.0580, 24.0450__8.0522, 25.0403__8.0467, 26.0349__8.0419, 27.0293__8.0378, 28.0236__8.0345, 29.0178__8.0319, 30.0119__8.0301, 31.0060__8.0289, 32.0000__8.0285, 
0.0000__7.1348, 1.0108__7.1352, 2.0215__7.1364, 3.0318__7.1387, 4.0415__7.1420, 5.0497__7.1462, 6.0554__7.1503, 7.0575__7.1508, 8.0646__7.1494, 9.0721__7.1487, 10.0790__7.1480, 11.0824__7.1446, 12.0828__7.1385, 13.0805__7.1332, 14.0810__7.1269, 15.0811__7.1184, 16.0790__7.1094, 17.0765__7.1013, 18.0735__7.0939, 19.0708__7.0866, 20.0676__7.0792, 21.0639__7.0719, 22.0598__7.0649, 23.0554__7.0584, 24.0510__7.0520, 25.0457__7.0459, 26.0395__7.0408, 27.0331__7.0365, 28.0265__7.0331, 29.0200__7.0305, 30.0134__7.0287, 31.0068__7.0275, 32.0000__7.0271, 
0.0000__6.1169, 1.0100__6.1172, 2.0199__6.1183, 3.0294__6.1200, 4.0383__6.1224, 5.0461__6.1252, 6.0526__6.1277, 7.0583__6.1287, 8.0650__6.1286, 9.0722__6.1284, 10.0790__6.1283, 11.0846__6.1289, 12.0857__6.1295, 13.0843__6.1276, 14.0873__6.1232, 15.0896__6.1168, 16.0870__6.1093, 17.0839__6.1024, 18.0806__6.0954, 19.0782__6.0883, 20.0753__6.0806, 21.0714__6.0725, 22.0668__6.0649, 23.0622__6.0573, 24.0576__6.0503, 25.0514__6.0442, 26.0443__6.0389, 27.0370__6.0344, 28.0296__6.0308, 29.0223__6.0282, 30.0149__6.0264, 31.0076__6.0253, 32.0000__6.0249, 
0.0000__5.0983, 1.0094__5.0986, 2.0187__5.0994, 3.0276__5.1007, 4.0361__5.1023, 5.0439__5.1042, 6.0510__5.1058, 7.0578__5.1069, 8.0649__5.1075, 9.0725__5.1077, 10.0797__5.1073, 11.0843__5.1066, 12.0854__5.1064, 13.0856__5.1066, 14.0898__5.1070, 15.0949__5.1062, 16.0923__5.1035, 17.0895__5.0996, 18.0874__5.0939, 19.0848__5.0873, 20.0835__5.0800, 21.0796__5.0717, 22.0749__5.0631, 23.0701__5.0545, 24.0641__5.0471, 25.0569__5.0412, 26.0492__5.0359, 27.0411__5.0313, 28.0327__5.0275, 29.0244__5.0249, 30.0163__5.0232, 31.0082__5.0223, 32.0000__5.0220, 
0.0000__4.0792, 1.0090__4.0794, 2.0178__4.0800, 3.0264__4.0809, 4.0346__4.0821, 5.0423__4.0833, 6.0497__4.0845, 7.0568__4.0856, 8.0641__4.0867, 9.0717__4.0882, 10.0790__4.0907, 11.0839__4.0935, 12.0857__4.0947, 13.0855__4.0941, 14.0884__4.0946, 15.0945__4.0972, 16.0945__4.0979, 17.0940__4.0943, 18.0941__4.0885, 19.0916__4.0812, 20.0904__4.0748, 21.0871__4.0688, 22.0839__4.0610, 23.0786__4.0521, 24.0710__4.0440, 25.0627__4.0374, 26.0543__4.0319, 27.0455__4.0271, 28.0358__4.0234, 29.0264__4.0210, 30.0175__4.0195, 31.0087__4.0187, 32.0000__4.0185, 
0.0000__3.0597, 1.0086__3.0599, 2.0172__3.0603, 3.0255__3.0609, 4.0335__3.0617, 5.0413__3.0625, 6.0487__3.0634, 7.0558__3.0644, 8.0628__3.0655, 9.0696__3.0670, 10.0758__3.0693, 11.0809__3.0721, 12.0843__3.0748, 13.0855__3.0760, 14.0874__3.0755, 15.0918__3.0761, 16.0944__3.0773, 17.0966__3.0774, 18.0983__3.0762, 19.0978__3.0730, 20.0957__3.0681, 21.0932__3.0626, 22.0919__3.0562, 23.0874__3.0481, 24.0786__3.0396, 25.0688__3.0326, 26.0593__3.0270, 27.0498__3.0225, 28.0388__3.0191, 29.0283__3.0168, 30.0186__3.0153, 31.0092__3.0145, 32.0000__3.0142, 
0.0000__2.0400, 1.0084__2.0400, 2.0168__2.0403, 3.0249__2.0407, 4.0329__2.0412, 5.0405__2.0417, 6.0479__2.0424, 7.0549__2.0430, 8.0617__2.0439, 9.0680__2.0450, 10.0737__2.0464, 11.0785__2.0481, 12.0822__2.0498, 13.0850__2.0508, 14.0877__2.0509, 15.0908__2.0512, 16.0936__2.0519, 17.0960__2.0526, 18.0982__2.0536, 19.0992__2.0545, 20.0985__2.0545, 21.0975__2.0522, 22.0982__2.0476, 23.0957__2.0410, 24.0865__2.0333, 25.0750__2.0261, 26.0640__2.0208, 27.0536__2.0170, 28.0415__2.0140, 29.0302__2.0117, 30.0197__2.0103, 31.0097__2.0097, 32.0000__2.0096, 
0.0000__1.0200, 1.0083__1.0201, 2.0165__1.0202, 3.0246__1.0204, 4.0325__1.0206, 5.0401__1.0209, 6.0474__1.0212, 7.0544__1.0216, 8.0610__1.0220, 9.0671__1.0226, 10.0726__1.0233, 11.0773__1.0240, 12.0812__1.0248, 13.0845__1.0252, 14.0875__1.0255, 15.0904__1.0257, 16.0930__1.0260, 17.0953__1.0264, 18.0971__1.0270, 19.0981__1.0277, 20.0985__1.0279, 21.0991__1.0274, 22.1007__1.0271, 23.0998__1.0267, 24.0936__1.0225, 25.0814__1.0159, 26.0679__1.0113, 27.0560__1.0091, 28.0440__1.0074, 29.0319__1.0055, 30.0203__1.0046, 31.0097__1.0047, 32.0000__1.0048, 
0.0000__0.0000, 1.0083__0.0000, 2.0165__0.0000, 3.0245__0.0000, 4.0323__0.0000, 5.0399__0.0000, 6.0472__0.0000, 7.0542__0.0000, 8.0607__0.0000, 9.0668__0.0000, 10.0722__0.0000, 11.0769__0.0000, 12.0809__0.0000, 13.0843__0.0000, 14.0874__0.0000, 15.0903__0.0000, 16.0928__0.0000, 17.0951__0.0000, 18.0968__0.0000, 19.0979__0.0000, 20.0986__0.0000, 21.0993__0.0000, 22.1002__0.0000, 23.1000__0.0000, 24.0968__0.0000, 25.0846__0.0000, 26.0696__0.0000, 27.0566__0.0000, 28.0451__0.0000, 29.0328__0.0000, 30.0204__0.0000, 31.0096__0.0000, 32.0000__0.0000
