0.0000__11.4885, 1.0394__11.4864, 2.0832__11.4856, 3.1309__11.4835, 4.1553__11.4668, 5.1799__11.4862, 6.2028__11.5153, 7.1653__11.4930, 8.1035__11.4404, 9.0708__11.3951, 10.0441__11.3612, 11.0506__11.3081, 12.0552__11.2602, 13.0744__11.2223, 14.0926__11.1853, 15.1045__11.1482, 16.0992__11.1021, 17.0800__11.0497, 18.0524__10.9951, 19.0288__10.9423, 19.9994__10.9063, 20.9814__10.8675, 22.0139__10.8273, 23.0648__10.8011, 24.0790__10.7699, 25.0773__10.7454, 26.0482__10.7246, 27.0288__10.7062, 28.0063__10.6798, 28.9849__10.6412, 29.9800__10.6147, 30.9650__10.5932, 32.0000__10.5783, 
0.0000__10.4505, 1.0393__10.4512, 2.0807__10.4530, 3.1282__10.4662, 4.1705__10.4838, 5.1645__10.4734, 6.1809__10.4943, 7.1961__10.5265, 8.1482__10.5100, 9.1058__10.4727, 10.0955__10.4117, 11.1000__10.3578, 12.0969__10.3125, 13.1128__10.2695, 14.1201__10.2420, 15.1455__10.2115, 16.1445__10.1716, 17.1356__10.1224, 18.1066__10.0675, 19.0733__10.0241, 20.0467__9.9688, 21.0326__9.9075, 22.0423__9.8691, 23.0813__9.8502, 24.1012__9.8343, 25.0875__9.8180, 26.0701__9.8042, 27.0445__9.7852, 28.0361__9.7637, 29.0194__9.7381, 30.0056__9.7047, 30.9871__9.6816, 32.0000__9.6781, 
0.0000__9.4124, 1.0367__9.4139, 2.0747__9.4197, 3.1122__9.4299, 4.1517__9.4562, 5.1727__9.4857, 6.1515__9.4855, 7.1819__9.5060, 8.1639__9.5256, 9.1437__9.5000, 10.1523__9.4630, 11.1474__9.4153, 12.1408__9.3695, 13.1438__9.3361, 14.1587__9.2924, 15.1705__9.2587, 16.1869__9.2316, 17.1914__9.1829, 18.1565__9.1333, 19.1155__9.0847, 20.1054__9.0392, 21.0933__8.9820, 22.0880__8.9179, 23.0972__8.8806, 24.1137__8.8677, 25.1008__8.8530, 26.0722__8.8483, 27.0620__8.8451, 28.0515__8.8303, 29.0372__8.8200, 30.0313__8.8081, 31.0107__8.7801, 32.0000__8.7607, 
0.0000__8.3721, 1.0333__8.3739, 2.0662__8.3795, 3.0985__8.3909, 4.1247__8.4070, 5.1478__8.4325, 6.1530__8.4496, 7.1518__8.4553, 8.1633__8.4659, 9.1625__8.4624, 10.1786__8.4510, 11.1822__8.4418, 12.1823__8.4107, 13.1832__8.3602, 14.1920__8.3311, 15.2005__8.2992, 16.2322__8.2515, 17.2217__8.2284, 18.2027__8.2029, 19.1633__8.1539, 20.1560__8.0982, 21.1520__8.0452, 22.1380__8.0012, 23.1304__7.9588, 24.1276__7.9295, 25.1211__7.9094, 26.0784__7.8869, 27.0730__7.8730, 28.0529__7.8734, 29.0416__7.8756, 30.0401__7.8707, 31.0369__7.8574, 32.0000__7.8467, 
0.0000__7.3290, 1.0299__7.3306, 2.0588__7.3355, 3.0856__7.3441, 4.1096__7.3566, 5.1266__7.3704, 6.1412__7.3848, 7.1465__7.3929, 8.1555__7.3944, 9.1677__7.3952, 10.1797__7.3974, 11.1910__7.3947, 12.2081__7.3894, 13.2110__7.3870, 14.2116__7.3664, 15.2420__7.3335, 16.2620__7.3184, 17.2531__7.2854, 18.2401__7.2406, 19.2153__7.1923, 20.2096__7.1384, 21.1886__7.1001, 22.1803__7.0603, 23.1666__7.0199, 24.1572__6.9845, 25.1429__6.9544, 26.1104__6.9247, 27.0712__6.9113, 28.0518__6.9141, 29.0444__6.9095, 30.0482__6.9018, 31.0415__6.8969, 32.0000__6.8987, 
0.0000__6.2833, 1.0270__6.2845, 2.0529__6.2884, 3.0768__6.2947, 4.0981__6.3030, 5.1161__6.3124, 6.1298__6.3208, 7.1427__6.3270, 8.1539__6.3309, 9.1662__6.3327, 10.1781__6.3331, 11.1925__6.3344, 12.2044__6.3396, 13.2111__6.3379, 14.2295__6.3282, 15.2534__6.3234, 16.2680__6.3181, 17.2830__6.3118, 18.2881__6.2799, 19.2685__6.2280, 20.2519__6.1887, 21.2258__6.1446, 22.2283__6.0926, 23.2036__6.0425, 24.1878__6.0077, 25.1671__5.9818, 26.1229__5.9718, 27.0824__5.9593, 28.0575__5.9419, 29.0546__5.9324, 30.0452__5.9338, 31.0426__5.9391, 32.0000__5.9336, 
0.0000__5.2357, 1.0249__5.2367, 2.0485__5.2395, 3.0706__5.2439, 4.0907__5.2496, 5.1084__5.2558, 6.1239__5.2616, 7.1378__5.2664, 8.1512__5.2700, 9.1648__5.2724, 10.1794__5.2729, 11.1920__5.2714, 12.2001__5.2716, 13.2133__5.2738, 14.2318__5.2747, 15.2546__5.2732, 16.2674__5.2751, 17.2826__5.2756, 18.3053__5.2849, 19.2963__5.2849, 20.2896__5.2515, 21.2914__5.1846, 22.2851__5.1142, 23.2522__5.0601, 24.2219__5.0124, 25.1835__4.9870, 26.1325__4.9661, 27.1009__4.9468, 28.0620__4.9422, 29.0549__4.9477, 30.0344__4.9574, 31.0407__4.9650, 32.0000__4.9718, 
0.0000__4.1874, 1.0234__4.1881, 2.0455__4.1901, 3.0664__4.1931, 4.0858__4.1970, 5.1034__4.2012, 6.1194__4.2053, 7.1342__4.2089, 8.1484__4.2120, 9.1628__4.2146, 10.1781__4.2182, 11.1917__4.2234, 12.2018__4.2236, 13.2124__4.2206, 14.2297__4.2219, 15.2518__4.2295, 16.2640__4.2332, 17.2812__4.2327, 18.2948__4.2282, 19.3026__4.2153, 20.3124__4.2009, 21.3365__4.1886, 22.3361__4.1596, 23.3142__4.0991, 24.2737__4.0365, 25.2048__3.9945, 26.1699__3.9586, 27.1101__3.9331, 28.0695__3.9236, 29.0315__3.9356, 30.0246__3.9586, 31.0198__3.9791, 32.0000__3.9925, 
0.0000__3.1391, 1.0222__3.1396, 2.0435__3.1410, 3.0636__3.1430, 4.0825__3.1455, 5.1000__3.1482, 6.1162__3.1511, 7.1313__3.1538, 8.1458__3.1563, 9.1601__3.1588, 10.1740__3.1616, 11.1876__3.1641, 12.2013__3.1676, 13.2127__3.1695, 14.2272__3.1690, 15.2445__3.1705, 16.2623__3.1733, 17.2799__3.1750, 18.2997__3.1784, 19.3122__3.1781, 20.3267__3.1654, 21.3428__3.1499, 22.3767__3.1213, 23.3664__3.0823, 24.3140__3.0516, 25.2539__3.0011, 26.2030__2.9553, 27.1288__2.9326, 28.0591__2.9389, 29.0178__2.9535, 30.0087__2.9622, 31.0080__2.9708, 32.0000__2.9703, 
0.0000__2.0915, 1.0215__2.0918, 2.0423__2.0926, 3.0619__2.0938, 4.0805__2.0952, 5.0978__2.0969, 6.1140__2.0987, 7.1292__2.1005, 8.1438__2.1024, 9.1580__2.1042, 10.1719__2.1060, 11.1855__2.1078, 12.1982__2.1093, 13.2119__2.1104, 14.2266__2.1114, 15.2427__2.1128, 16.2598__2.1143, 17.2776__2.1162, 18.2951__2.1182, 19.3133__2.1182, 20.3339__2.1185, 21.3546__2.1130, 22.3963__2.1121, 23.3873__2.1122, 24.3574__2.0756, 25.3340__1.9991, 26.2440__1.9293, 27.1251__1.9185, 28.0426__1.9349, 29.0062__1.9510, 29.9988__1.9677, 31.0033__1.9753, 32.0000__1.9812, 
0.0000__1.0451, 1.0211__1.0452, 2.0416__1.0456, 3.0610__1.0461, 4.0794__1.0468, 5.0966__1.0475, 6.1127__1.0484, 7.1279__1.0493, 8.1425__1.0503, 9.1567__1.0512, 10.1707__1.0521, 11.1843__1.0530, 12.1976__1.0538, 13.2112__1.0543, 14.2258__1.0548, 15.2416__1.0555, 16.2586__1.0565, 17.2762__1.0574, 18.2942__1.0581, 19.3129__1.0585, 20.3322__1.0579, 21.3556__1.0576, 22.3774__1.0689, 23.3814__1.0778, 24.3877__1.0700, 25.3947__1.0450, 26.3082__0.9906, 27.1454__0.9334, 28.0303__0.9236, 28.9856__0.9430, 29.9762__0.9675, 30.9925__0.9938, 32.0000__0.9976, 
0.0000__0.0000, 1.0210__0.0000, 2.0414__0.0000, 3.0608__0.0000, 4.0791__0.0000, 5.0963__0.0000, 6.1123__0.0000, 7.1275__0.0000, 8.1420__0.0000, 9.1563__0.0000, 10.1703__0.0000, 11.1839__0.0000, 12.1973__0.0000, 13.2110__0.0000, 14.2256__0.0000, 15.2412__0.0000, 16.2582__0.0000, 17.2759__0.0000, 18.2940__0.0000, 19.3129__0.0000, 20.3331__0.0000, 21.3533__0.0000, 22.3652__0.0000, 23.3755__0.0000, 24.3848__0.0000, 25.4054__0.0000, 26.3423__0.0000, 27.1760__0.0000, 28.0200__0.0000, 28.9803__0.0000, 29.9540__0.0000, 30.9870__0.0000, 32.0000__0.0000
